Date,Country,Cases,Deaths,Population
2022-06-13,Austria,4335,0,8901064
2022-06-12,Austria,2866,3,8901064
2022-06-11,Austria,3052,3,8901064
2022-06-10,Austria,4031,0,8901064
2022-06-09,Austria,4305,3,8901064
2022-06-08,Austria,5224,1,8901064
2022-06-07,Austria,3728,2,8901064
2022-06-06,Austria,2388,3,8901064
2022-06-05,Austria,2081,3,8901064
2022-06-04,Austria,2398,3,8901064
2022-06-03,Austria,2717,1,8901064
2022-06-02,Austria,3260,6,8901064
2022-06-01,Austria,3209,3,8901064
2022-05-31,Austria,3592,5,8901064
2022-05-30,Austria,2381,3,8901064
2022-05-29,Austria,1749,0,8901064
2022-05-28,Austria,1892,2,8901064
2022-05-27,Austria,1821,1,8901064
2022-05-26,Austria,1754,7,8901064
2022-05-25,Austria,2607,2,8901064
2022-05-24,Austria,3158,13,8901064
2022-05-23,Austria,2428,4,8901064
2022-05-22,Austria,1756,4,8901064
2022-05-21,Austria,1753,5,8901064
2022-05-20,Austria,2707,3,8901064
2022-05-19,Austria,3142,6,8901064
2022-05-18,Austria,3395,5,8901064
2022-05-17,Austria,4408,4,8901064
2022-05-16,Austria,3279,8,8901064
2022-05-15,Austria,2513,3,8901064
2022-05-14,Austria,3334,3,8901064
2022-05-13,Austria,3706,3,8901064
2022-05-12,Austria,4765,12,8901064
2022-05-11,Austria,5065,6,8901064
2022-05-10,Austria,5967,7,8901064
2022-05-09,Austria,4734,7,8901064
2022-05-08,Austria,3912,19,8901064
2022-05-07,Austria,3465,6,8901064
2022-05-06,Austria,5117,10,8901064
2022-05-05,Austria,6111,6,8901064
2022-05-04,Austria,5980,9,8901064
2022-05-03,Austria,7159,14,8901064
2022-05-02,Austria,5606,13,8901064
2022-05-01,Austria,3944,14,8901064
2022-04-30,Austria,4465,6,8901064
2022-04-29,Austria,5294,10,8901064
2022-04-28,Austria,6065,15,8901064
2022-04-27,Austria,6526,17,8901064
2022-04-26,Austria,8242,14,8901064
2022-04-25,Austria,6181,16,8901064
2022-04-24,Austria,4339,11,8901064
2022-04-23,Austria,5508,17,8901064
2022-04-22,Austria,6503,23,8901064
2022-04-21,Austria,8079,27,8901064
2022-04-20,Austria,10925,14,8901064
2022-04-19,Austria,8501,19,8901064
2022-04-18,Austria,5751,16,8901064
2022-04-17,Austria,5602,20,8901064
2022-04-16,Austria,7430,23,8901064
2022-04-15,Austria,8717,22,8901064
2022-04-14,Austria,9849,16,8901064
2022-04-13,Austria,10338,24,8901064
2022-04-12,Austria,12472,33,8901064
2022-04-11,Austria,9506,29,8901064
2022-04-10,Austria,7313,26,8901064
2022-04-09,Austria,10607,29,8901064
2022-04-08,Austria,12969,28,8901064
2022-04-07,Austria,13842,31,8901064
2022-04-06,Austria,16313,38,8901064
2022-04-05,Austria,20931,36,8901064
2022-04-04,Austria,15291,27,8901064
2022-04-03,Austria,11473,40,8901064
