Date,Country,Cases,Deaths,Population
2022-06-14,Denmark,1159,3,5822763
2022-06-13,Denmark,2427,10,5822763
2022-06-10,Denmark,909,9,5822763
2022-06-09,Denmark,912,3,5822763
2022-06-08,Denmark,906,4,5822763
2022-06-07,Denmark,1987,12,5822763
2022-06-03,Denmark,545,4,5822763
2022-06-02,Denmark,591,4,5822763
2022-06-01,Denmark,646,5,5822763
2022-05-31,Denmark,712,5,5822763
2022-05-30,Denmark,806,8,5822763
2022-05-28,Denmark,468,6,5822763
2022-05-25,Denmark,573,4,5822763
2022-05-24,Denmark,2555,23,5822763
2022-05-19,Denmark,664,8,5822763
2022-05-18,Denmark,744,8,5822763
2022-05-17,Denmark,803,3,5822763
2022-05-16,Denmark,570,6,5822763
2022-05-15,Denmark,488,2,5822763
2022-05-14,Denmark,427,7,5822763
2022-05-13,Denmark,765,7,5822763
2022-05-12,Denmark,742,11,5822763
2022-05-11,Denmark,850,8,5822763
2022-05-10,Denmark,1003,8,5822763
2022-05-09,Denmark,582,6,5822763
2022-05-08,Denmark,575,4,5822763
2022-05-07,Denmark,919,8,5822763
2022-05-06,Denmark,887,8,5822763
2022-05-05,Denmark,872,11,5822763
2022-05-04,Denmark,962,16,5822763
2022-05-03,Denmark,993,8,5822763
2022-05-02,Denmark,780,13,5822763
2022-05-01,Denmark,671,12,5822763
2022-04-30,Denmark,934,9,5822763
2022-04-29,Denmark,940,14,5822763
2022-04-28,Denmark,1088,10,5822763
2022-04-27,Denmark,1207,9,5822763
2022-04-26,Denmark,1484,11,5822763
2022-04-25,Denmark,983,21,5822763
2022-04-24,Denmark,1005,12,5822763
2022-04-23,Denmark,1350,12,5822763
2022-04-22,Denmark,1634,13,5822763
2022-04-21,Denmark,2042,17,5822763
2022-04-20,Denmark,2351,11,5822763
2022-04-19,Denmark,1801,11,5822763
2022-04-18,Denmark,1214,11,5822763
2022-04-17,Denmark,1607,12,5822763
2022-04-16,Denmark,1410,11,5822763
2022-04-15,Denmark,1447,13,5822763
2022-04-14,Denmark,2259,16,5822763
2022-04-13,Denmark,2257,13,5822763
2022-04-12,Denmark,2683,11,5822763
2022-04-11,Denmark,1805,13,5822763
2022-04-10,Denmark,1722,23,5822763
2022-04-09,Denmark,2457,24,5822763
2022-04-08,Denmark,2680,24,5822763
2022-04-07,Denmark,2747,24,5822763
2022-04-06,Denmark,3214,15,5822763
2022-04-05,Denmark,3363,21,5822763
2022-04-04,Denmark,2266,15,5822763
2022-04-03,Denmark,2080,17,5822763
2022-04-02,Denmark,2852,22,5822763
2022-04-01,Denmark,3000,25,5822763
2022-03-31,Denmark,3931,30,5822763
2022-03-30,Denmark,4411,83,5822763
2022-03-29,Denmark,4496,0,5822763
2022-03-28,Denmark,3372,0,5822763
2022-03-27,Denmark,3359,2,5822763
2022-03-26,Denmark,4322,41,5822763
2022-03-25,Denmark,5654,24,5822763
